[20-12-27 12:51:42 GMT+7] - [MrHecka | 854756142] > /nulis
[20-12-27 12:51:46 GMT+7] - [MrHecka | 854756142] > /nulis
[20-12-27 12:52:06 GMT+7] - [MrHecka | 854756142] > /nulis
[20-12-27 12:52:09 GMT+7] - [MrHecka | 854756142] > /nulis a
[20-12-27 12:53:06 GMT+7] - [MrHecka | 854756142] > /nulis
[20-12-27 12:53:17 GMT+7] - [MrHecka | 854756142] > /nulis
[20-12-27 12:54:18 GMT+7] - [MrHecka | 854756142] > /nulis
[20-12-27 12:57:24 GMT+7] - [MrHecka | 854756142] > /nulis
[20-12-27 12:58:05 GMT+7] - [MrHecka | 854756142] > /nulis
[20-12-27 12:58:26 GMT+7] - [MrHecka | 854756142] > /nulis
[20-12-27 12:58:32 GMT+7] - [MrHecka | 854756142] > /nulis a
[20-12-27 13:25:23 GMT+7] - [MrHecka | 854756142] > /start
[20-12-27 13:27:13 GMT+7] - [MrHecka | 854756142] > /start
[20-12-27 13:28:06 GMT+7] - [MrHecka | 854756142] > /start
[20-12-27 13:31:25 GMT+7] - [MrHecka | 854756142] > /start
[20-12-27 13:31:40 GMT+7] - [MrHecka | 854756142] > /start
[20-12-27 13:32:45 GMT+7] - [MrHecka | 854756142] > /start
[20-12-27 13:38:36 GMT+7] - [MrHecka | 854756142] > /start
[20-12-27 13:38:43 GMT+7] - [MrHecka | 854756142] > Ke Menu
[20-12-27 13:39:02 GMT+7] - [MrHecka | 854756142] > Ke Menu
[20-12-27 13:39:03 GMT+7] - [MrHecka | 854756142] > Ke Info Menu
[20-12-27 13:39:04 GMT+7] - [MrHecka | 854756142] > /menu
[20-12-27 13:39:21 GMT+7] - [MrHecka | 854756142] > /infomenu
[20-12-27 13:39:23 GMT+7] - [MrHecka | 854756142] > /menu
[20-12-27 13:40:31 GMT+7] - [MrHecka | 854756142] > /start
[20-12-27 13:40:44 GMT+7] - [MrHecka | 854756142] > Your contact
[20-12-27 13:41:37 GMT+7] - [MrHecka | 854756142] > /start
[20-12-27 13:41:43 GMT+7] - [MrHecka | 854756142] > Your contact
[20-12-27 13:41:45 GMT+7] - [MrHecka | 854756142] > Your location
[20-12-27 13:47:27 GMT+7] - [MrHecka | 854756142] > /start
[20-12-27 13:47:35 GMT+7] - [MrHecka | 854756142] > /menu ✏️🗒
[20-12-27 13:47:37 GMT+7] - [MrHecka | 854756142] > /infomenu 🗒🔍
[20-12-27 13:49:29 GMT+7] - [MrHecka | 854756142] > /start
[20-12-27 13:50:12 GMT+7] - [MrHecka | 854756142] > /start
[20-12-27 13:50:22 GMT+7] - [MrHecka | 854756142] > /infomenu 🗒🔍
[20-12-27 13:50:28 GMT+7] - [MrHecka | 854756142] > /menu ✏️🗒
[20-12-27 13:51:23 GMT+7] - [MrHecka | 854756142] > @MrHecka
[20-12-27 13:51:46 GMT+7] - [MrHecka | 854756142] > /infomenu
[20-12-27 13:51:47 GMT+7] - [MrHecka | 854756142] > /menu
[20-12-27 14:08:57 GMT+7] - [MrHecka | 854756142] > /start
[20-12-27 14:09:10 GMT+7] - [MrHecka | 854756142] > /menu
[20-12-27 14:09:43 GMT+7] - [MrHecka | 854756142] > /menu ✏️🗒
[20-12-27 14:09:54 GMT+7] - [MrHecka | 854756142] > /about
[20-12-27 14:10:40 GMT+7] - [MrHecka | 854756142] > /about
[20-12-27 14:11:54 GMT+7] - [MrHecka | 854756142] > /about
[20-12-27 14:13:19 GMT+7] - [MrHecka | 854756142] > a
[20-12-27 14:13:21 GMT+7] - [MrHecka | 854756142] > *aa
[20-12-27 14:13:23 GMT+7] - [MrHecka | 854756142] > *a*
[20-12-27 14:13:27 GMT+7] - [MrHecka | 854756142] > a
